slurm-1556403.out:DATA: Trial: 3, Line Count: 2, Node Count: 100000, Process Count: 4, Elapsed Time: 1131.572302
slurm-1556404.out:DATA: Trial: 3, Line Count: 2, Node Count: 100000, Process Count: 8, Elapsed Time: 570.664191
slurm-1556405.out:DATA: Trial: 3, Line Count: 4, Node Count: 100000, Process Count: 4, Elapsed Time: 1162.298998
slurm-1556406.out:DATA: Trial: 3, Line Count: 4, Node Count: 100000, Process Count: 8, Elapsed Time: 729.963983
slurm-1556408.out:DATA: Trial: 4, Line Count: 1, Node Count: 100000, Process Count: 1, Elapsed Time: 4471.616669
slurm-1556409.out:DATA: Trial: 4, Line Count: 2, Node Count: 100000, Process Count: 2, Elapsed Time: 2198.726953
slurm-1556410.out:DATA: Trial: 4, Line Count: 2, Node Count: 100000, Process Count: 4, Elapsed Time: 1124.101250
slurm-1556411.out:DATA: Trial: 4, Line Count: 2, Node Count: 100000, Process Count: 8, Elapsed Time: 609.086767
slurm-1556412.out:DATA: Trial: 4, Line Count: 4, Node Count: 100000, Process Count: 4, Elapsed Time: 1154.336944
slurm-1556413.out:DATA: Trial: 4, Line Count: 4, Node Count: 100000, Process Count: 8, Elapsed Time: 578.059388
slurm-1556416.out:DATA: Trial: 5, Line Count: 2, Node Count: 100000, Process Count: 2, Elapsed Time: 2204.961895
slurm-1556417.out:DATA: Trial: 5, Line Count: 2, Node Count: 100000, Process Count: 4, Elapsed Time: 1130.950189
slurm-1556418.out:DATA: Trial: 5, Line Count: 2, Node Count: 100000, Process Count: 8, Elapsed Time: 607.834243
slurm-1556419.out:DATA: Trial: 5, Line Count: 4, Node Count: 100000, Process Count: 4, Elapsed Time: 1132.356577
slurm-1556420.out:DATA: Trial: 5, Line Count: 4, Node Count: 100000, Process Count: 8, Elapsed Time: 583.094148
slurm-1556423.out:DATA: Trial: 1, Line Count: 2, Node Count: 1000000, Process Count: 2, Elapsed Time: 22313.673453
slurm-1556425.out:DATA: Trial: 1, Line Count: 2, Node Count: 1000000, Process Count: 8, Elapsed Time: 5485.237069
slurm-1556427.out:DATA: Trial: 1, Line Count: 4, Node Count: 1000000, Process Count: 8, Elapsed Time: 5714.124399
slurm-1556428.out:DATA: Trial: 1, Line Count: 4, Node Count: 1000000, Process Count: 16, Elapsed Time: 2934.962520
slurm-1556430.out:DATA: Trial: 2, Line Count: 2, Node Count: 1000000, Process Count: 2, Elapsed Time: 21978.934332
slurm-1556431.out:DATA: Trial: 2, Line Count: 2, Node Count: 1000000, Process Count: 4, Elapsed Time: 11509.530231
slurm-1556434.out:DATA: Trial: 2, Line Count: 4, Node Count: 1000000, Process Count: 8, Elapsed Time: 5760.525460
slurm-1556435.out:DATA: Trial: 2, Line Count: 4, Node Count: 1000000, Process Count: 16, Elapsed Time: 2903.404381
slurm-1556437.out:DATA: Trial: 3, Line Count: 2, Node Count: 1000000, Process Count: 2, Elapsed Time: 21990.489163
slurm-1556438.out:DATA: Trial: 3, Line Count: 2, Node Count: 1000000, Process Count: 4, Elapsed Time: 11268.651070
slurm-1556439.out:DATA: Trial: 3, Line Count: 2, Node Count: 1000000, Process Count: 8, Elapsed Time: 5589.023889
slurm-1556441.out:DATA: Trial: 3, Line Count: 4, Node Count: 1000000, Process Count: 8, Elapsed Time: 5459.611908
slurm-1556442.out:DATA: Trial: 3, Line Count: 4, Node Count: 1000000, Process Count: 16, Elapsed Time: 2975.222072
slurm-1556444.out:DATA: Trial: 4, Line Count: 2, Node Count: 1000000, Process Count: 2, Elapsed Time: 22282.115551
slurm-1556445.out:DATA: Trial: 4, Line Count: 2, Node Count: 1000000, Process Count: 4, Elapsed Time: 11279.158817
slurm-1556446.out:DATA: Trial: 4, Line Count: 2, Node Count: 1000000, Process Count: 8, Elapsed Time: 5676.971142
slurm-1556448.out:DATA: Trial: 4, Line Count: 4, Node Count: 1000000, Process Count: 8, Elapsed Time: 5450.250807
slurm-1556451.out:DATA: Trial: 5, Line Count: 2, Node Count: 1000000, Process Count: 2, Elapsed Time: 21698.771137
slurm-1556452.out:DATA: Trial: 5, Line Count: 2, Node Count: 1000000, Process Count: 4, Elapsed Time: 11066.149135
slurm-1556453.out:DATA: Trial: 5, Line Count: 2, Node Count: 1000000, Process Count: 8, Elapsed Time: 5693.969742
slurm-1556455.out:DATA: Trial: 5, Line Count: 4, Node Count: 1000000, Process Count: 8, Elapsed Time: 5659.740720
slurm-1556456.out:DATA: Trial: 5, Line Count: 4, Node Count: 1000000, Process Count: 16, Elapsed Time: 2848.078258
