FILENAME,THREAD_COUNT,NUM_ITER,TRIAL_COUNT,ELAPSED_TIME,VIR_MEM (KB),PHYS_MEM (KB),,,OMP Averages,,
slurm-1422292.out:DATA,2,300000000,2,2258.164,90572,488,,,,,
slurm-1422293.out:DATA,2,300000000,3,2268.475,90572,488,,,,,
slurm-1422294.out:DATA,2,300000000,4,2256.742,90572,488,,,,,
slurm-1422295.out:DATA,2,300000000,5,2258.227,90572,488,,,,,
slurm-1422296.out:DATA,2,300000000,6,2090.615,90572,488,,,,,
slurm-1422297.out:DATA,2,300000000,7,2261.476,90572,488,,,,,
slurm-1422298.out:DATA,2,300000000,8,2262.848,90572,488,,,,,
slurm-1422299.out:DATA,2,300000000,9,2266.648,90572,488,,,,,
slurm-1422300.out:DATA,2,300000000,10,2269.81,90572,488,,,,,
slurm-1422301.out:DATA,2,400000000,1,3006.12,90572,484,,,,,
slurm-1422302.out:DATA,2,400000000,2,3015.611,90572,484,,,,,
slurm-1422303.out:DATA,2,400000000,3,3039.696,90572,488,,,,,
slurm-1422304.out:DATA,2,400000000,4,3040.328,90572,488,,,,,
slurm-1422305.out:DATA,2,400000000,5,2947.065,90572,488,,,,,
slurm-1422306.out:DATA,2,400000000,6,2916.285,90572,488,,,,,
slurm-1422307.out:DATA,2,400000000,7,2915.222,90572,488,,,,,
slurm-1422308.out:DATA,2,400000000,8,2943.842,90572,484,,,,,
slurm-1422309.out:DATA,2,400000000,9,2942.97,90572,488,,,,,
slurm-1422310.out:DATA,2,400000000,10,2836.172,90572,488,,,,,
slurm-1422311.out:DATA,4,100000000,1,365.12,106964,488,,,,,
slurm-1422312.out:DATA,4,100000000,2,471.374,106964,488,394.0674,,,,
slurm-1422313.out:DATA,4,100000000,3,365.198,106964,488,865.2279,,,,
slurm-1422314.out:DATA,4,100000000,4,367.328,106964,488,1208.6471,,,,
slurm-1422315.out:DATA,4,100000000,5,364.852,106964,488,1550.733,,,,
slurm-1422316.out:DATA,4,100000000,6,365.165,106964,488,,,,,
slurm-1422317.out:DATA,4,100000000,7,398.862,106964,488,,,,,
slurm-1422318.out:DATA,4,100000000,8,392.823,106964,488,,,,,
slurm-1422319.out:DATA,4,100000000,9,429.328,106964,488,,,,,
slurm-1422320.out:DATA,4,100000000,10,420.624,106964,488,,,,,
slurm-1422321.out:DATA,4,200000000,1,966.215,106964,488,,,,,
slurm-1422322.out:DATA,4,200000000,2,845.51,106964,488,,,,,
slurm-1422323.out:DATA,4,200000000,3,830.697,106964,488,,,,,
slurm-1422324.out:DATA,4,200000000,4,830.06,106964,488,,,,,
slurm-1422325.out:DATA,4,200000000,5,831.142,106964,488,,,,,
slurm-1422326.out:DATA,4,200000000,6,944.748,106964,488,,,,,
slurm-1422327.out:DATA,4,200000000,7,871.605,106964,488,,,,,
slurm-1422328.out:DATA,4,200000000,8,833.022,106964,488,,,,,
slurm-1422329.out:DATA,4,200000000,9,868.099,106964,488,,,,,
slurm-1422330.out:DATA,4,200000000,10,831.181,106964,492,,,,,
slurm-1422331.out:DATA,4,300000000,1,1375.556,106964,488,,,,,
slurm-1422332.out:DATA,4,300000000,2,1246.822,106964,488,,,,,
slurm-1422333.out:DATA,4,300000000,3,1245.532,106964,488,,,,,
slurm-1422334.out:DATA,4,300000000,4,1163.385,106964,488,,,,,
slurm-1422335.out:DATA,4,300000000,5,1163.787,106964,488,,,,,
slurm-1422336.out:DATA,4,300000000,6,1164.318,106964,488,,,,,
slurm-1422337.out:DATA,4,300000000,7,1165.901,106964,484,,,,,
slurm-1422338.out:DATA,4,300000000,8,1201.222,106964,488,,,,,
slurm-1422339.out:DATA,4,300000000,9,1180.543,106964,488,,,,,
slurm-1422340.out:DATA,4,300000000,10,1179.405,106964,488,,,,,
slurm-1422341.out:DATA,4,400000000,1,1540.157,106964,488,,,,,
slurm-1422342.out:DATA,4,400000000,2,1551.177,106964,488,,,,,
slurm-1422343.out:DATA,4,400000000,3,1568.485,106964,488,,,,,
slurm-1422344.out:DATA,4,400000000,4,1551.148,106964,488,,,,,
slurm-1422345.out:DATA,4,400000000,5,1551.371,106964,488,,,,,
slurm-1422346.out:DATA,4,400000000,6,1553.019,106964,488,,,,,
slurm-1422347.out:DATA,4,400000000,7,1553.635,106964,488,,,,,
slurm-1422348.out:DATA,4,400000000,8,1553.295,106964,488,,,,,
slurm-1422349.out:DATA,4,400000000,9,1554.538,106964,488,,,,,
slurm-1422350.out:DATA,4,400000000,10,1530.505,106964,488,,,,,
slurm-1422351.out:DATA,8,100000000,1,388.738,106964,680,,,,,
slurm-1422352.out:DATA,8,100000000,2,411.542,106964,680,392.3336,,,,
slurm-1422353.out:DATA,8,100000000,3,388.782,106964,680,780.4474444,,,,
slurm-1422354.out:DATA,8,100000000,4,389.723,106964,680,1147.6246,,,,
slurm-1422355.out:DATA,8,100000000,5,388.586,106964,680,1558.2495,,,,
slurm-1422356.out:DATA,8,100000000,6,402.265,106964,680,,,,,
slurm-1422357.out:DATA,8,100000000,7,388.43,106964,680,,,,,
slurm-1422358.out:DATA,8,100000000,8,390.528,106964,680,,,,,
slurm-1422359.out:DATA,8,100000000,9,388.382,106964,680,,,,,
slurm-1422360.out:DATA,8,100000000,10,386.36,106964,680,,,,,
slurm-1422361.out:DATA,8,200000000,1,763.831,106964,680,,,,,
slurm-1422362.out:DATA,8,200000000,2,775.399,106964,680,,,,,
slurm-1422363.out:DATA,8,200000000,3,781.413,106964,680,,,,,
slurm-1422364.out:DATA,8,200000000,4,804.366,106964,680,,,,,
slurm-1422365.out:DATA,8,200000000,5,777.279,106964,680,,,,,
slurm-1422366.out:DATA,8,200000000,6,776.007,106964,680,,,,,
slurm-1422367.out:DATA,8,200000000,7,782.173,106964,680,,,,,
slurm-1422368.out:DATA,8,200000000,8,786.121,106964,680,,,,,
slurm-1422369.out:DATA,8,200000000,9,777.438,106964,680,,,,,
slurm-1422370.out:DATA,8,200000000,10,1384.455,106964,680,,,,,
slurm-1422371.out:DATA,8,300000000,1,1144.142,106964,680,,,,,
slurm-1422372.out:DATA,8,300000000,2,1094.162,106964,680,,,,,
slurm-1422373.out:DATA,8,300000000,3,1093.949,106964,680,,,,,
slurm-1422374.out:DATA,8,300000000,4,1166.627,106964,680,,,,,
slurm-1422375.out:DATA,8,300000000,5,1098.62,106964,680,,,,,
slurm-1422376.out:DATA,8,300000000,6,1095.09,106964,676,,,,,
slurm-1422377.out:DATA,8,300000000,7,1094.936,106964,676,,,,,
slurm-1422378.out:DATA,8,300000000,8,1419.346,106964,680,,,,,
slurm-1422379.out:DATA,8,300000000,9,1094.877,106964,680,,,,,
slurm-1422380.out:DATA,8,300000000,10,1174.497,106964,680,,,,,
slurm-1422381.out:DATA,8,400000000,1,1569.949,106964,680,,,,,
slurm-1422382.out:DATA,8,400000000,2,1594.543,106964,696,,,,,
slurm-1422383.out:DATA,8,400000000,3,1553.773,106964,680,,,,,
slurm-1422384.out:DATA,8,400000000,4,1552.662,106964,680,,,,,
slurm-1422385.out:DATA,8,400000000,5,1554.286,106964,680,,,,,
slurm-1422386.out:DATA,8,400000000,6,1552.096,106964,680,,,,,
